Member_number,itemDescription,year,month,day,day_of_week
1808,tropical fruit,2015,7,21,1
2552,whole milk,2015,5,1,4
2300,pip fruit,2015,9,19,5
1187,other vegetables,2015,12,12,5
3037,whole milk,2015,1,2,4
4941,rolls/buns,2015,2,14,5
4501,other vegetables,2015,8,5,2
3803,pot plants,2015,12,23,2
2762,whole milk,2015,3,20,4
4119,tropical fruit,2015,12,2,2
1340,citrus fruit,2015,2,24,1
2193,beef,2015,4,14,1
1997,frankfurter,2015,7,21,1
4546,chicken,2015,3,9,0
4736,butter,2015,7,21,1
1959,fruit/vegetable juice,2015,3,30,0
1974,packaged fruit/vegetables,2015,3,5,3
2421,chocolate,2015,2,9,0
1513,specialty bar,2015,3,8,6
1905,other vegetables,2015,7,7,1
2810,butter milk,2015,8,9,6
2867,whole milk,2015,12,11,4
3962,tropical fruit,2015,9,18,4
1088,tropical fruit,2015,11,30,0
4976,bottled water,2015,7,17,4
4056,yogurt,2015,12,6,6
3611,sausage,2015,2,13,4
1420,other vegetables,2015,1,14,2
4286,brown bread,2015,8,3,0
4918,yogurt,2015,1,27,1
4783,hamburger meat,2015,10,22,3
3709,root vegetables,2015,10,26,0
4289,pork,2015,8,10,0
1559,beef,2015,3,10,1
2900,pastry,2015,11,4,2
1905,fruit/vegetable juice,2015,2,21,5
3527,canned beer,2015,9,29,1
1495,root vegetables,2015,9,1,1
3558,citrus fruit,2015,3,4,2
3128,sausage,2015,4,20,0
1863,tropical fruit,2015,4,8,2
3841,berries,2015,7,19,6
3903,canned beer,2015,6,10,2
2658,butter milk,2015,10,16,4
4272,coffee,2015,6,6,5
1120,pastry,2015,9,26,5
2676,rolls/buns,2015,8,15,5
1697,misc. beverages,2015,5,21,3
2507,root vegetables,2015,8,25,1
4620,sausage,2015,11,3,1
3365,canned beer,2015,1,2,4
2978,ham,2015,5,6,2
2910,turkey,2015,7,28,1
1061,whole milk,2015,5,9,5
3276,whole milk,2015,3,4,2
1326,packaged fruit/vegetables,2015,6,19,4
3023,rolls/buns,2015,7,28,1
2185,ham,2015,11,10,1
3552,rolls/buns,2015,6,16,1
1967,other vegetables,2015,1,20,1
4708,sausage,2015,3,20,4
2874,sausage,2015,2,15,6
4177,frankfurter,2015,4,13,0
1663,rolls/buns,2015,7,2,3
2632,whole milk,2015,2,3,1
1377,curd cheese,2015,3,14,5
4162,red/blush wine,2015,12,22,1
2270,sausage,2015,1,7,2
4829,tropical fruit,2015,3,11,2
3811,red/blush wine,2015,4,14,1
4766,whole milk,2015,9,29,1
2436,frankfurter,2015,12,4,4
3860,whole milk,2015,5,5,1
4875,frozen potato products,2015,12,5,5
1587,other vegetables,2015,1,7,2
4038,citrus fruit,2015,8,7,4
4750,flour,2015,9,21,0
1199,sugar,2015,10,12,0
1603,frozen meals,2015,9,30,2
3111,chocolate,2015,1,31,5
3894,root vegetables,2015,12,13,6
1456,root vegetables,2015,9,18,4
2022,herbs,2015,4,3,4
2505,bottled water,2015,11,30,0
4851,sausage,2015,12,20,6
4293,coffee,2015,4,8,2
2775,pork,2015,6,11,3
3693,berries,2015,2,18,2
1202,soda,2015,7,22,2
3699,berries,2015,8,23,6
4152,fruit/vegetable juice,2015,4,15,2
4155,citrus fruit,2015,1,26,0
4010,pork,2015,12,29,1
4389,detergent,2015,10,20,1
3746,grapes,2015,8,17,0
2560,sausage,2015,5,17,6
1503,chicken,2015,7,25,5
2555,whole milk,2015,12,23,2
3645,citrus fruit,2015,12,12,5
3886,soda,2015,11,9,0
2932,sausage,2015,3,20,4
1711,frankfurter,2015,6,18,3
4291,sausage,2015,8,12,2
1143,soda,2015,4,25,5
4564,rolls/buns,2015,8,7,4
3337,beef,2015,5,14,3
4931,whole milk,2015,4,5,6
2623,processed cheese,2015,10,10,5
4581,tropical fruit,2015,3,4,2
2635,frankfurter,2015,11,6,4
1095,packaged fruit/vegetables,2015,10,30,4
2990,whole milk,2015,5,23,5
2426,berries,2015,5,6,2
4555,citrus fruit,2015,7,11,5
3635,tropical fruit,2015,4,9,3
3058,hamburger meat,2015,5,18,0
4391,hamburger meat,2015,3,26,3
1306,whole milk,2015,6,23,1
1024,fish,2015,10,8,3
1295,frankfurter,2015,7,23,3
1661,packaged fruit/vegetables,2015,1,6,1
4591,pastry,2015,5,15,4
3169,other vegetables,2015,6,14,6
3915,misc. beverages,2015,5,21,3
1127,frankfurter,2015,1,14,2
4828,sparkling wine,2015,8,8,5
3683,specialty bar,2015,10,6,1
1971,sausage,2015,9,18,4
3014,curd cheese,2015,11,11,2
3779,frankfurter,2015,9,15,1
2489,whole milk,2015,4,5,6
3564,newspapers,2015,6,27,5
4092,berries,2015,9,30,2
3221,curd,2015,1,13,1
1279,tropical fruit,2015,6,9,1
2581,soda,2015,8,22,5
2295,rolls/buns,2015,2,25,2
4760,canned beer,2015,2,22,6
3649,canned beer,2015,1,16,4
1075,frankfurter,2015,11,19,3
3987,other vegetables,2015,8,19,2
4106,whole milk,2015,8,25,1
4338,whole milk,2015,6,24,2
4166,citrus fruit,2015,6,11,3
1211,frankfurter,2015,10,3,5
3954,frankfurter,2015,1,21,2
3928,butter milk,2015,7,18,5
3827,hamburger meat,2015,9,30,2
4699,pasta,2015,8,2,6
4747,other vegetables,2015,8,6,3
3028,sausage,2015,9,6,6
2851,rolls/buns,2015,3,16,0
4417,grapes,2015,2,25,2
3822,root vegetables,2015,7,3,4
2288,coffee,2015,5,31,6
2184,popcorn,2015,6,30,1
4554,whole milk,2015,8,27,3
3361,tropical fruit,2015,5,3,6
2999,beef,2015,4,17,4
2614,whole milk,2015,6,25,3
4064,frankfurter,2015,5,6,2
3567,tropical fruit,2015,4,10,4
2587,canned beer,2015,7,5,6
3783,finished products,2015,6,17,2
1923,beverages,2015,2,14,5
4835,hamburger meat,2015,2,19,3
1514,whole milk,2015,8,24,0
3154,finished products,2015,6,22,0
1313,other vegetables,2015,12,25,4
2794,ham,2015,7,18,5
2359,other vegetables,2015,9,4,4
2238,curd,2015,9,3,3
3795,bottled beer,2015,1,17,5
3724,curd,2015,11,26,3
1152,whole milk,2015,5,3,6
4559,whole milk,2015,3,16,0
3922,dessert,2015,2,27,4
1709,sausage,2015,4,22,2
2219,other vegetables,2015,4,17,4
2206,ham,2015,10,17,5
1752,other vegetables,2015,6,4,3
3942,other vegetables,2015,10,11,6
3296,soda,2015,8,17,0
2257,herbs,2015,5,2,5
4313,frankfurter,2015,7,28,1
2001,rolls/buns,2015,8,21,4
2449,curd,2015,8,7,4
4914,frankfurter,2015,12,4,4
2764,other vegetables,2015,7,24,4
4187,dog food,2015,9,5,5
1392,specialty bar,2015,4,20,0
3427,curd,2015,4,28,1
1411,frankfurter,2015,2,20,4
3390,soda,2015,11,14,5
4787,beef,2015,1,8,3
3310,canned beer,2015,1,17,5
1782,pork,2015,10,10,5
3375,frankfurter,2015,4,26,6
2760,sausage,2015,7,1,2
4249,canned beer,2015,9,13,6
2904,specialty chocolate,2015,6,6,5
4090,curd,2015,2,26,3
3060,canned beer,2015,5,7,3
3768,whole milk,2015,7,10,4
1232,rolls/buns,2015,1,21,2
1360,pork,2015,10,23,4
1107,citrus fruit,2015,1,10,5
2865,pot plants,2015,4,11,5
2958,rolls/buns,2015,6,14,6
2448,butter,2015,12,7,0
1222,condensed milk,2015,9,24,3
2943,sausage,2015,6,20,5
2270,whole milk,2015,11,8,6
3812,sausage,2015,7,21,1
1482,beverages,2015,11,22,6
4720,beverages,2015,2,22,6
1344,bottled water,2015,4,9,3
2397,newspapers,2015,4,10,4
4182,cleaner,2015,12,5,5
4487,sausage,2015,10,7,2
3467,newspapers,2015,12,24,3
2443,sausage,2015,11,15,6
2749,misc. beverages,2015,1,27,1
4389,white wine,2015,4,13,0
1674,sausage,2015,4,12,6
4262,meat,2015,10,16,4
2082,frankfurter,2015,7,4,5
4494,ice cream,2015,6,1,0
2460,canned beer,2015,9,28,0
4509,tropical fruit,2015,11,29,6
2267,meat,2015,3,7,5
4891,whole milk,2015,5,9,5
3962,sausage,2015,9,20,6
4964,frankfurter,2015,7,18,5
2914,meat,2015,11,30,0
2808,root vegetables,2015,5,5,1
1085,root vegetables,2015,8,15,5
3808,whole milk,2015,8,18,1
4149,citrus fruit,2015,7,1,2
2331,citrus fruit,2015,5,6,2
4475,other vegetables,2015,3,4,2
2761,citrus fruit,2015,4,25,5
2620,sausage,2015,12,14,0
3206,frankfurter,2015,10,13,1
1226,hard cheese,2015,4,13,0
1395,cream cheese ,2015,7,3,4
2465,turkey,2015,7,6,0
3572,pork,2015,9,7,0
4387,whole milk,2015,8,5,2
1555,rolls/buns,2015,3,27,4
1181,sausage,2015,11,16,0
2814,ice cream,2015,11,5,3
2794,liquor,2015,9,16,2
2912,pip fruit,2015,1,28,2
4667,root vegetables,2015,12,1,1
2235,soda,2015,10,25,6
2353,soda,2015,2,5,3
3449,sausage,2015,8,3,0
1058,root vegetables,2015,10,11,6
1027,pork,2015,5,17,6
3302,pork,2015,5,22,4
2229,chocolate,2015,5,30,5
2188,fruit/vegetable juice,2015,8,15,5
1547,pickled vegetables,2015,4,18,5
1649,bottled water,2015,6,30,1
3254,frankfurter,2015,10,9,4
2818,tropical fruit,2015,7,11,5
2703,canned beer,2015,8,5,2
3332,root vegetables,2015,1,31,5
2473,meat,2015,1,7,2
2810,frankfurter,2015,12,30,2
